epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,674.151,1.33779,3.08906,1.29392,0.62355,0.54906,0.58381,0.34507,1.51666,3.94788,1.42818,0.00999409,0.00333136,0.00999409,0.00333136,0.00999409,0.00333136,0.00999409,0.00333136
2,1227.48,1.36956,3.33082,1.30858,0.58432,0.57523,0.56624,0.32874,1.50504,4.18683,1.44076,0.0195982,0.00653273,0.0195982,0.00653273,0.0195982,0.00653273,0.0195982,0.00653273
3,1752.27,1.42472,3.57975,1.3385,0.59242,0.54323,0.5726,0.32341,1.5342,3.91684,1.44927,0.0288063,0.00960211,0.0288063,0.00960211,0.0288063,0.00960211,0.0288063,0.00960211
4,2256.61,1.4519,3.77912,1.36076,0.57121,0.55816,0.56559,0.32321,1.53337,4.02134,1.4525,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2760.5,1.44276,3.73925,1.35667,0.61381,0.55981,0.59549,0.34657,1.48107,3.84063,1.43086,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,3267.65,1.43186,3.68921,1.35047,0.62238,0.5287,0.58379,0.34166,1.49059,3.81583,1.4289,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3777.19,1.42315,3.62789,1.34545,0.6296,0.54326,0.5997,0.35186,1.48765,3.7047,1.42418,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,4284.38,1.41463,3.56557,1.34209,0.62918,0.57239,0.61714,0.3619,1.461,3.57057,1.42916,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,4789.41,1.40969,3.54487,1.33314,0.62415,0.56872,0.61021,0.3601,1.45813,3.62581,1.38873,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,5295.48,1.39694,3.50633,1.32829,0.63064,0.56986,0.61842,0.36524,1.44585,3.56647,1.40224,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
