epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,500.28,1.75473,5.83359,1.67348,0.7235,0.28659,0.31735,0.15763,1.91068,6.70342,1.79079,0.000166568,0.000166568,0.0668529
2,965.931,1.69577,5.41572,1.65686,0.36659,0.46367,0.38491,0.19733,1.80197,6.06618,1.7302,0.000329936,0.000329936,0.033683
3,1426.36,1.66032,5.24884,1.63098,0.46084,0.46045,0.44041,0.22325,1.78591,5.23692,1.69169,0.000490003,0.000490003,0.000509716
4,1884.64,1.61886,4.97675,1.59569,0.46008,0.47822,0.44565,0.22354,1.84366,5.27302,1.71385,0.00048515,0.00048515,0.00048515
5,2342,1.59732,4.84557,1.58024,0.48914,0.4765,0.47762,0.261,1.66628,4.66793,1.6229,0.0004802,0.0004802,0.0004802
6,2799.7,1.57024,4.71911,1.55711,0.49814,0.48849,0.48584,0.26651,1.61654,4.62974,1.58092,0.00047525,0.00047525,0.00047525
7,3256.9,1.55696,4.62955,1.54607,0.52514,0.47104,0.49632,0.27467,1.62084,4.50279,1.58719,0.0004703,0.0004703,0.0004703
8,3715.21,1.54408,4.5295,1.53532,0.53496,0.49151,0.50914,0.28527,1.60912,4.38133,1.56296,0.00046535,0.00046535,0.00046535
9,4172.89,1.5401,4.50718,1.5285,0.55139,0.50214,0.52928,0.29587,1.57932,4.26507,1.53663,0.0004604,0.0004604,0.0004604
10,4631,1.52119,4.4018,1.5178,0.56228,0.50644,0.54639,0.30634,1.5631,4.14436,1.53053,0.00045545,0.00045545,0.00045545
11,5089.06,1.50864,4.33789,1.51131,0.5558,0.51027,0.54046,0.30551,1.56382,4.1631,1.52192,0.0004505,0.0004505,0.0004505
12,5547.5,1.50707,4.30078,1.51093,0.56866,0.52452,0.54982,0.31306,1.53758,4.09188,1.51076,0.00044555,0.00044555,0.00044555
13,6004.74,1.49407,4.23619,1.49767,0.59307,0.51555,0.55945,0.31897,1.54084,4.04403,1.50682,0.0004406,0.0004406,0.0004406
14,6463.29,1.49265,4.22188,1.49416,0.59902,0.51273,0.56549,0.32071,1.53575,3.97307,1.49605,0.00043565,0.00043565,0.00043565
15,6921.36,1.4877,4.18368,1.49461,0.59692,0.5158,0.56352,0.32008,1.53351,4.05821,1.49561,0.0004307,0.0004307,0.0004307
16,7375.24,1.48238,4.16199,1.48655,0.6037,0.50858,0.56841,0.32739,1.51615,3.96031,1.49155,0.00042575,0.00042575,0.00042575
17,7826.31,1.47136,4.08801,1.47778,0.60615,0.52068,0.57541,0.33145,1.51375,3.89121,1.48445,0.0004208,0.0004208,0.0004208
18,8275.98,1.46766,4.07812,1.47279,0.61615,0.52378,0.58262,0.33738,1.49982,3.85735,1.47069,0.00041585,0.00041585,0.00041585
19,8726.32,1.46775,4.03521,1.47103,0.61889,0.53054,0.59105,0.34046,1.50039,3.79107,1.46263,0.0004109,0.0004109,0.0004109
20,9185.29,1.46154,4.00374,1.46485,0.62597,0.54615,0.59758,0.34454,1.50073,3.75369,1.46557,0.00040595,0.00040595,0.00040595
21,9640.16,1.45566,3.98498,1.46538,0.62972,0.55094,0.60743,0.35302,1.48979,3.66576,1.45786,0.000401,0.000401,0.000401
22,10096.1,1.45435,3.96654,1.46086,0.63641,0.53999,0.6029,0.34972,1.48954,3.70463,1.46119,0.00039605,0.00039605,0.00039605
23,10551.8,1.45099,3.91586,1.45276,0.63432,0.53809,0.5971,0.34749,1.49685,3.75747,1.46119,0.0003911,0.0003911,0.0003911
24,11006.9,1.44357,3.91057,1.44794,0.64612,0.53793,0.60534,0.35263,1.48338,3.68396,1.4524,0.00038615,0.00038615,0.00038615
25,11463.9,1.43826,3.86618,1.44423,0.6407,0.54113,0.60351,0.35224,1.48488,3.70433,1.45265,0.0003812,0.0003812,0.0003812
26,11921.8,1.43765,3.85568,1.44086,0.64488,0.55417,0.61421,0.35849,1.47694,3.61366,1.44085,0.00037625,0.00037625,0.00037625
27,12377.6,1.43408,3.83684,1.44027,0.64227,0.5504,0.60995,0.35748,1.47315,3.6413,1.44013,0.0003713,0.0003713,0.0003713
28,12832.8,1.43271,3.82094,1.44307,0.65285,0.55748,0.61801,0.36168,1.47074,3.6013,1.43869,0.00036635,0.00036635,0.00036635
29,13288.4,1.42071,3.76531,1.42975,0.64542,0.55931,0.61817,0.36321,1.46651,3.58243,1.43612,0.0003614,0.0003614,0.0003614
30,13745.1,1.42067,3.77807,1.4289,0.64924,0.56209,0.62199,0.3647,1.46285,3.56199,1.43089,0.00035645,0.00035645,0.00035645
31,14201.4,1.42357,3.77458,1.42951,0.64931,0.56466,0.62482,0.3674,1.4591,3.53763,1.42987,0.0003515,0.0003515,0.0003515
32,14657.6,1.41639,3.71128,1.42587,0.65592,0.56055,0.6234,0.36692,1.45941,3.56356,1.42974,0.00034655,0.00034655,0.00034655
33,15119,1.41066,3.6889,1.41989,0.65575,0.56515,0.62616,0.36834,1.45683,3.53856,1.42479,0.0003416,0.0003416,0.0003416
34,15580.9,1.40842,3.66772,1.4163,0.65501,0.56846,0.62802,0.3707,1.45229,3.51556,1.42004,0.00033665,0.00033665,0.00033665
35,16041.2,1.40572,3.67358,1.41867,0.65537,0.57258,0.63102,0.37284,1.45157,3.49077,1.41862,0.0003317,0.0003317,0.0003317
36,16498.7,1.40518,3.63113,1.41105,0.65328,0.57597,0.63317,0.37414,1.45066,3.48265,1.41558,0.00032675,0.00032675,0.00032675
37,16962.1,1.39809,3.62115,1.40312,0.65591,0.57694,0.63462,0.37533,1.44853,3.47734,1.41336,0.0003218,0.0003218,0.0003218
38,17426.2,1.3925,3.59568,1.40582,0.6596,0.57792,0.63691,0.37701,1.44605,3.46285,1.41311,0.00031685,0.00031685,0.00031685
39,17885.8,1.39305,3.59877,1.4056,0.65839,0.57898,0.63808,0.37804,1.44516,3.45681,1.41309,0.0003119,0.0003119,0.0003119
40,18344.2,1.39456,3.57781,1.40288,0.66117,0.57796,0.63909,0.37909,1.44476,3.45418,1.41179,0.00030695,0.00030695,0.00030695
41,18806.8,1.39099,3.56729,1.39998,0.65939,0.57911,0.6404,0.37969,1.44341,3.44225,1.40965,0.000302,0.000302,0.000302
42,19270.4,1.38433,3.50916,1.39213,0.65973,0.58179,0.64182,0.38096,1.44124,3.43101,1.40741,0.00029705,0.00029705,0.00029705
43,19733.4,1.38731,3.53321,1.39741,0.66166,0.58329,0.64311,0.38156,1.43929,3.42087,1.40585,0.0002921,0.0002921,0.0002921
44,20192.5,1.38392,3.51889,1.39496,0.66051,0.58814,0.64512,0.38268,1.43845,3.40749,1.40444,0.00028715,0.00028715,0.00028715
45,20649.3,1.38404,3.48851,1.39016,0.6596,0.58907,0.64601,0.38295,1.43799,3.4017,1.40315,0.0002822,0.0002822,0.0002822
46,21101.5,1.38266,3.47807,1.39047,0.66114,0.58951,0.64729,0.38403,1.43651,3.3879,1.40169,0.00027725,0.00027725,0.00027725
47,21558,1.37575,3.44595,1.38597,0.662,0.59126,0.64855,0.38473,1.43528,3.38172,1.39995,0.0002723,0.0002723,0.0002723
48,22016,1.37609,3.46278,1.38885,0.66209,0.59277,0.6493,0.38542,1.43416,3.37705,1.39879,0.00026735,0.00026735,0.00026735
49,22472.6,1.37208,3.44743,1.38259,0.66349,0.59361,0.65036,0.38612,1.43329,3.37112,1.39765,0.0002624,0.0002624,0.0002624
50,22929.3,1.37405,3.43843,1.38389,0.66539,0.59363,0.6513,0.38678,1.43231,3.36563,1.3967,0.00025745,0.00025745,0.00025745
51,23385.9,1.37364,3.42509,1.38312,0.66507,0.59367,0.65151,0.38735,1.43162,3.36213,1.39588,0.0002525,0.0002525,0.0002525
52,23844,1.36391,3.40052,1.37406,0.66212,0.59557,0.65198,0.38788,1.43054,3.35668,1.39464,0.00024755,0.00024755,0.00024755
53,24304.5,1.36311,3.37703,1.37825,0.6626,0.59661,0.65249,0.38838,1.42992,3.3518,1.39378,0.0002426,0.0002426,0.0002426
54,24761.3,1.3601,3.35556,1.37038,0.66333,0.59764,0.65332,0.38888,1.42944,3.34866,1.39331,0.00023765,0.00023765,0.00023765
55,25215.7,1.36359,3.36674,1.37448,0.6651,0.59763,0.65376,0.38944,1.42853,3.34383,1.39263,0.0002327,0.0002327,0.0002327
56,25671.4,1.35464,3.3273,1.3665,0.66554,0.59895,0.6545,0.38975,1.42773,3.34092,1.39153,0.00022775,0.00022775,0.00022775
57,26126.1,1.35243,3.32657,1.36945,0.66666,0.59903,0.65486,0.3902,1.42707,3.33828,1.39115,0.0002228,0.0002228,0.0002228
58,26578.4,1.35128,3.2991,1.36684,0.66692,0.60038,0.65518,0.39069,1.42679,3.33574,1.39095,0.00021785,0.00021785,0.00021785
